,peak_rank,debut_rank,lifetime_peak_rank,sensationality,avg_rank_score,std_rank_score,time_on_chart,num_occurrences,rank_sum,skewness,kurtosis,spotify_popularity,top_10,top_25,top_50
400,3,0.3333333333333333,3,0.5429188002515746,0.060828508564942665,0.09352353040527173,10,10,0.6082850856494268,2.413251060460658,4.238890967884236,72.0,True,True,True
401,43,0.023255813953488372,43,0.18636906904231365,0.012354776312505504,0.0036484045377553577,16,16,0.13590253943756053,2.3747940670467536,4.299936152591381,77.0,False,False,True
402,50,0.02,50,0.01999733375993107,0.02,0.0,1,1,0.02,0.0,-3.0,83.0,False,False,True
403,65,0.015384615384615385,65,0.015383401723156442,0.015384615384615385,0.0,1,1,0.015384615384615385,0.0,-3.0,69.0,False,False,False
404,45,0.014705882352941176,45,0.05275210599985258,0.017600373482726424,0.003302692284738283,1,3,0.05280112044817927,0.6414545247487327,-1.5,89.0,False,False,True
405,3,0.013157894736842105,3,0.9996838859676762,0.07670073577789406,0.06914069740661899,52,52,2.07091986600314,2.057996798618316,4.692565790640912,79.0,True,True,True
406,80,0.0125,80,0.012499348999020832,0.0125,0.0,1,1,0.0125,0.0,-3.0,59.0,False,False,False
407,88,0.011363636363636364,88,0.021669521985541174,0.010836457357075915,0.0005271790065604501,2,2,0.02167291471415183,-4.851865356548963e-15,-2.0,69.0,False,False,False
408,91,0.01098901098901099,91,0.010988568672052113,0.01098901098901099,0.0,1,1,0.01098901098901099,0.0,-3.0,53.0,False,False,False
409,30,0.03333333333333333,30,0.1527025969858138,0.01710071057650214,0.006426087677645521,9,9,0.15390639518851926,1.5862926765161278,1.7318297566075644,75.0,False,False,True
410,32,0.03125,32,0.05324778203926028,0.017766064257028112,0.009571177766166037,3,3,0.053298192771084336,0.6828980874010314,-1.5000000000000002,65.0,False,False,True
411,33,0.030303030303030304,33,0.10809412503676419,0.015502586315911645,0.006250446571103018,7,7,0.10851810421138151,1.760485426517573,1.591462233454557,87.0,False,False,True
412,34,0.029411764705882353,34,0.06172522567902616,0.01545094911967977,0.008083418552462127,4,4,0.06180379647871908,1.1351994274938288,-0.6824316270777717,62.0,False,False,True
413,40,0.025,40,0.1037640129176629,0.01576447794432906,0.004656652379906191,7,7,0.07882238972164529,1.4391413884953115,0.16569436337712773,65.0,False,False,True
414,53,0.018867924528301886,53,0.018865685862331283,0.018867924528301886,0.0,1,1,0.018867924528301886,0.0,-3.0,55.0,False,False,False
