billboard_name,spotify_name,artist,duration_ms,spotify_id,spotify_uri,spotify_external_url,spotify_popularity,spotify_artist_popularity,spotify_artist_popularity_mean,explicit,preview_url,preview_url_audio,full_audio,full_audio_duration_s,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_analysis_file
Monster,Monster,Shawn Mendes & Justin Bieber,178013.0,2UREu1Y8CO4jXkbvqAtP7g,spotify:track:2UREu1Y8CO4jXkbvqAtP7g,https://open.spotify.com/track/2UREu1Y8CO4jXkbvqAtP7g,77.0,[77],77.0,False,https://p.scdn.co/mp3-preview/11fb884b5dccbd6e31a57ace3fd8ada84e2d644f?cid=064f7f00e33f41f2ba917f2f07083867,previews/Monster.wav,Shawn Mendes Justin Bieber  Monster.wav,183.0,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']",0.64,0.957,8.0,-2.336,1.0,0.0741,0.0431,0.0,0.0789,0.692,134.992,4.0,Monster.json
Body,Rock Your Body,Megan Thee Stallion,267266.0,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://open.spotify.com/track/1AWQoqb9bSvzTjaLralEkT,78.0,[83],83.0,False,https://p.scdn.co/mp3-preview/b8107de56aa80cecd7801cd6fca284bebfc5113b?cid=064f7f00e33f41f2ba917f2f07083867,previews/Body.wav,Megan Thee Stallion  Body Official Video.wav,174.0,"['dance pop', 'pop']",0.892,0.714,4.0,-6.055,0.0,0.141,0.201,0.000234,0.0521,0.817,100.972,4.0,Body.json
Blue & Grey,Blue & Grey,BTS,254950.0,7Ki0hse0IfXEcXUlpyECbJ,spotify:track:7Ki0hse0IfXEcXUlpyECbJ,https://open.spotify.com/track/7Ki0hse0IfXEcXUlpyECbJ,76.0,[96],96.0,False,https://p.scdn.co/mp3-preview/b8b9f740e524d7bad8acb6c5644fafaf974e2580?cid=064f7f00e33f41f2ba917f2f07083867,previews/Blue  Grey.wav,BOOWY　B BLUE　ビーブルー　BOØWY　氷室京介.wav,241.0,"['k-pop', 'k-pop boy group']",0.547,0.605,8.0,-6.755,1.0,0.0415,0.42,0.0,0.125,0.364,121.953,4.0,Blue  Grey.json
Stay,STAY (with Justin Bieber),BTS,141805.0,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,93.0,"[88, 96]",92.0,True,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=064f7f00e33f41f2ba917f2f07083867,previews/Stay.wav,BTS Stay Lyrics 방탄소년단 Stay 가사 Color Coded Lyrics.wav,206.0,"['australian hip hop', 'canadian pop', 'pop']",0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,4.0,Stay.json
Somebody's Problem,Somebody’s Problem,Morgan Wallen,161773.0,42lqBjPYlmL1EXpMDXvhSN,spotify:track:42lqBjPYlmL1EXpMDXvhSN,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN,70.0,[87],87.0,False,,,Morgan Wallen  Somebody’s Problem Official Lyric Video.wav,162.0,['contemporary country'],0.658,0.538,5.0,-7.676,1.0,0.0289,0.657,0.0,0.123,0.62,136.967,4.0,Somebodys Problem.json
Still Goin Down,Still Goin Down,Morgan Wallen,186293.0,096YtKWNRXdmYKFLelSBto,spotify:track:096YtKWNRXdmYKFLelSBto,https://open.spotify.com/track/096YtKWNRXdmYKFLelSBto,68.0,[87],87.0,False,,,Morgan Wallen  Still Goin Down Official Lyric Video.wav,187.0,['contemporary country'],0.58,0.751,7.0,-5.078,1.0,0.0267,0.49,0.0,0.277,0.718,148.108,4.0,Still Goin Down.json
Prisoner,Prisoner (feat. Dua Lipa),Miley Cyrus Featuring Dua Lipa,169333.0,2Oycxb8QbPkpHTo8ZrmG0B,spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,80.0,"[87, 93]",90.0,False,https://p.scdn.co/mp3-preview/59d54a8a5c6c25af55d6eda2a9145ef7e69daa78?cid=064f7f00e33f41f2ba917f2f07083867,previews/Prisoner.wav,Miley Cyrus  Prisoner Lyrics ft Dua Lipa.wav,169.0,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",0.781,0.67,3.0,-3.912,0.0,0.0452,0.0103,0.0,0.0761,0.595,127.99,4.0,Prisoner.json
Fly To My Room,Fly To My Room,BTS,222242.0,1NHl9g36Ebu3g16y0vtUNV,spotify:track:1NHl9g36Ebu3g16y0vtUNV,https://open.spotify.com/track/1NHl9g36Ebu3g16y0vtUNV,72.0,[96],96.0,False,https://p.scdn.co/mp3-preview/a8f86aa9bb9aa5efe09f90866a9e98eb60170f98?cid=064f7f00e33f41f2ba917f2f07083867,previews/Fly To My Room.wav,BTS – FLY TO MY ROOM 내 방을 여행하는 법 Lyrics Color CodedHanRomEng.wav,241.0,"['k-pop', 'k-pop boy group']",0.764,0.526,11.0,-7.355,1.0,0.212,0.0484,0.0,0.0718,0.588,114.91,4.0,Fly To My Room.json
Telepathy,Telepathy,BTS,202313.0,6Fnvi5QnVkTskSzeRvvQds,spotify:track:6Fnvi5QnVkTskSzeRvvQds,https://open.spotify.com/track/6Fnvi5QnVkTskSzeRvvQds,75.0,[96],96.0,False,https://p.scdn.co/mp3-preview/48bea9a190001ae14178968d2f324bab8538812b?cid=064f7f00e33f41f2ba917f2f07083867,previews/Telepathy.wav,BTS Telepathy Lyrics 방탄소년단 잠시 가사 Color Coded Lyrics.wav,203.0,"['k-pop', 'k-pop boy group']",0.787,0.669,5.0,-4.333,0.0,0.0428,0.00782,0.0,0.123,0.57,104.994,4.0,Telepathy.json
Cry Baby,Cry Baby (feat. DaBaby),Megan Thee Stallion Featuring DaBaby,137983.0,4aarlAfLKVCTxUDNgbwhjH,spotify:track:4aarlAfLKVCTxUDNgbwhjH,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH,72.0,"[86, 89]",87.5,True,https://p.scdn.co/mp3-preview/b828e459049fbd461bd088e3dea433bd877becdc?cid=064f7f00e33f41f2ba917f2f07083867,previews/Cry Baby.wav,Megan Thee Stallion  Cry Baby feat DaBaby Official Video.wav,180.0,"['dance pop', 'houston rap', 'pop', 'trap queen', 'north carolina hip hop', 'rap', 'trap']",0.957,0.437,11.0,-7.882,1.0,0.359,0.00402,0.0,0.219,0.616,130.058,4.0,Cry Baby.json
Dis-ease,Dis-ease,BTS,239722.0,0hxeouHqP3qzpTHerA7ha2,spotify:track:0hxeouHqP3qzpTHerA7ha2,https://open.spotify.com/track/0hxeouHqP3qzpTHerA7ha2,73.0,[96],96.0,False,https://p.scdn.co/mp3-preview/f2c9fdc6239cbff949acbaffe7f097355651aa8c?cid=064f7f00e33f41f2ba917f2f07083867,previews/Disease.wav,BTS Disease Lyrics 방탄소년단 병 가사 Color Coded LyricsHanRomEng.wav,240.0,"['k-pop', 'k-pop boy group']",0.731,0.845,8.0,-5.352,1.0,0.132,0.0132,0.0,0.0782,0.484,101.085,4.0,Disease.json
Shots Fired,Shots Fired,Megan Thee Stallion,170870.0,3yhhv0VCmKkAWD9ysDLpTE,spotify:track:3yhhv0VCmKkAWD9ysDLpTE,https://open.spotify.com/track/3yhhv0VCmKkAWD9ysDLpTE,52.0,[86],86.0,True,https://p.scdn.co/mp3-preview/0bd67488a5868e2bc0f781765ea946c4ebf82046?cid=064f7f00e33f41f2ba917f2f07083867,previews/Shots Fired.wav,Megan Thee Stallion  Shots Fired Lyrics.wav,171.0,"['dance pop', 'houston rap', 'pop', 'trap queen']",0.826,0.655,2.0,-4.775,1.0,0.3,0.000761,0.0,0.0841,0.45,184.057,4.0,Shots Fired.json
Livin' The Dream,Livin’ The Dream,Morgan Wallen,239120.0,2L4YgbxxwmwafMqLIjSx8q,spotify:track:2L4YgbxxwmwafMqLIjSx8q,https://open.spotify.com/track/2L4YgbxxwmwafMqLIjSx8q,68.0,[87],87.0,True,,,Morgan Wallen  Livin’ The Dream Official Lyric Video.wav,240.0,['contemporary country'],0.621,0.754,7.0,-5.904,0.0,0.0269,0.575,0.00484,0.213,0.441,127.036,4.0,Livin The Dream.json
Pain Away,Fuck Away the Pain,Meek Mill Featuring Lil Durk,210755.0,6gSq2p5IeADc4OTyopJOG7,spotify:track:6gSq2p5IeADc4OTyopJOG7,https://open.spotify.com/track/6gSq2p5IeADc4OTyopJOG7,54.0,[43],43.0,True,https://p.scdn.co/mp3-preview/5d7a0867848349f42c3ae1ab9d53285fc4ebb152?cid=064f7f00e33f41f2ba917f2f07083867,previews/Pain Away.wav,Meek Mill  Pain Away Lyrics ft Lil Durk.wav,207.0,[],0.615,0.83,11.0,-4.458,1.0,0.0365,0.0018,1.1e-06,0.0663,0.632,106.04,4.0,Pain Away.json
Do It On The Tip,Do It On The Tip (feat. City Girls & Hot Girl Meg),Megan Thee Stallion Featuring City Girls & Hot Girl Meg,167370.0,2993VQSr7a2Dj5hI5xcWG0,spotify:track:2993VQSr7a2Dj5hI5xcWG0,https://open.spotify.com/track/2993VQSr7a2Dj5hI5xcWG0,62.0,"[86, 74, 48]",69.33333333333333,True,https://p.scdn.co/mp3-preview/f79a324f1dc3ec44b502e4f049cb9130687aa96e?cid=064f7f00e33f41f2ba917f2f07083867,previews/Do It On The Tip.wav,Megan Thee Stallion  Do It On The Tip feat City Girls  Hot Girl Meg Official Audio.wav,167.0,"['dance pop', 'houston rap', 'pop', 'trap queen', 'pop rap', 'r&b', 'scam rap']",0.943,0.528,0.0,-8.631,1.0,0.299,0.00291,0.0,0.0858,0.608,97.542,4.0,Do It On The Tip.json
Bichota,BICHOTA,Karol G,178946.0,3VUKVvkg4PO9g7SlmJuppe,spotify:track:3VUKVvkg4PO9g7SlmJuppe,https://open.spotify.com/track/3VUKVvkg4PO9g7SlmJuppe,1.0,[90],90.0,True,,,Karol G  Bichota LetraLyrics.wav,176.0,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.863,0.666,1.0,-4.158,0.0,0.152,0.212,0.000493,0.103,0.838,163.908,4.0,Bichota.json
Cover Me Up,Cover Me Up,Morgan Wallen,293706.0,0mKnuxVkPi5h0kuvZl44VM,spotify:track:0mKnuxVkPi5h0kuvZl44VM,https://open.spotify.com/track/0mKnuxVkPi5h0kuvZl44VM,77.0,[87],87.0,False,,,Morgan Wallen  Cover Me Up Lyrics.wav,288.0,['contemporary country'],0.549,0.44,7.0,-8.192,1.0,0.0264,0.232,7.37e-06,0.107,0.214,128.01,3.0,Cover Me Up.json
